Road_ID,Length,Number_of_Bends,Trafficvolume,AccidentRisk
Road_147,12,12,Low,Low
Road_115,59,11,High,Low
Road_108,73,6,Medium,Medium
Road_148,69,1,Low,Low
Road_104,86,7,Medium,High
Road_54,27,9,High,Medium
Road_135,23,5,High,Medium
Road_9,75,5,Low,Low
Road_122,96,5,High,Low
Road_120,19,12,Low,High
Road_67,52,8,Medium,High
Road_12,24,12,High,High
Road_81,54,2,High,Low
Road_123,71,12,Medium,High
Road_140,7,5,Low,Low
Road_29,49,10,Low,Medium
Road_53,72,9,Low,Medium
Road_91,32,14,Low,Medium
Road_85,1,13,Low,High
Road_90,90,1,Low,High
Road_14,22,7,Low,Low
Road_56,62,3,Low,Low
Road_128,82,1,High,Medium
Road_117,19,5,High,Low
Road_57,37,3,Medium,Low
Road_97,56,3,Medium,Medium
Road_76,81,3,High,High
Road_32,42,13,High,Low
Road_99,38,1,High,High
Road_132,57,14,Medium,Medium
Road_6,21,10,Low,High
Road_145,1,5,High,Low
Road_25,76,2,High,High
Road_37,62,10,Medium,High
Road_26,58,14,Medium,High
Road_49,39,13,High,Low
Road_124,52,13,Low,Medium
Road_133,89,13,High,Low
Road_110,70,13,Medium,Low
Road_40,62,14,Low,Low
Road_127,39,3,High,High
Road_130,11,12,Medium,High
Road_22,60,2,High,Low
Road_84,97,3,Medium,Low
Road_141,16,8,Medium,High
Road_149,37,4,Medium,Low
Road_72,39,14,Medium,Low
Road_2,93,9,Low,High
Road_106,16,14,Medium,Low
Road_42,55,14,Low,Medium
Road_45,51,9,High,Low
Road_69,58,6,High,High
Road_96,75,7,High,High
Road_16,2,13,High,Low
Road_11,88,4,Low,High
Road_28,89,6,High,Medium
Road_92,70,5,Medium,Medium
Road_94,68,8,High,Low
Road_15,53,12,High,Medium
Road_116,36,2,Medium,High
